基本信息,现价,原价,时间,里程,年份,排量
奥迪Q3 2013款 35 TFSI quattro 技术型,15.18万,36.23万,2014年,6.0万公里,2013款,2.0T
荣威ei6 2017款 45T 混动互联智臻版,8.98万,24.18万,2017年,4.7万公里,2017款,1.0T
现代 菲斯塔 2019款 280TGDi 智速版 国V,10.79万,15.28万,2018年,2.7万公里,2019款,1.6T
奔驰A级 2019款 A 200 L 运动轿车先行特别版,22.80万,31.89万,2019年,0.7万公里,2019款,1.3T
福特 福克斯 2013款 两厢经典 1.8L 自动基本型,3.95万,11.92万,2013年,12.6万公里,2013款,1.8L
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,22.80万,33.32万,2018年,9.9万公里,2018款,2.0T
丰田 普拉多 2017款 2.7L 自动（平行进口）,46.88万,,2019年,3.5万公里,2017款,2.7L
宝马3系 2018款 320i M运动套装,21.68万,34.39万,2017年,7.9万公里,2018款,2.0T
现代 朗动 2016款 1.6L 自动尊贵型,7.20万,13.87万,2016年,4.3万公里,2016款,1.6L
宝马X5 2015款 xDrive28i(进口),42.80万,82.28万,2015年,10.6万公里,2015款,2.0T
本田 奥德赛 2017款 2.4L 智享版,23.90万,28.96万,2018年,5.7万公里,2017款,2.4L
奔驰C级 2020款 C 260 L 运动版,28.80万,37.64万,2019年,0.6万公里,2020款,1.5T
宝马1系 2017款 118i 时尚型,12.18万,22.23万,2017年,3.7万公里,2017款,1.5T
大众POLO 2013款 1.6L 自动舒适版,5.99万,12.15万,2014年,6.0万公里,2013款,1.6L
丰田 凯美瑞 2019款 2.0G 豪华版 国VI,18.88万,21.69万,2019年,0.5万公里,2019款,2.0L
雷克萨斯ES 2015款 200 精英版,23.80万,30.28万,2017年,12.9万公里,2015款,2.0L
MINI 2014款 1.5T COOPER Fun,15.58万,27.68万,2015年,6.1万公里,2014款,1.5T
宝马2系旅行车 2016款 218i 领先型,14.50万,26.90万,2017年,4.4万公里,2016款,1.5T
林肯MKZ 2017款 2.0T 尊耀版,20.68万,42.20万,2018年,5.6万公里,2017款,2.0T
大众 高尔夫·嘉旅 2016款 1.6L 自动舒适型,9.00万,15.62万,2017年,4.4万公里,2016款,1.6L
奔驰C级 2020款 C 260 L 运动版,29.80万,37.64万,2019年,0.8万公里,2020款,1.5T
别克GL8 2017款 ES 28T 豪华型 国V,25.90万,40.15万,2017年,19.1万公里,2017款,2.0T
领克05 2020款 2.0TD 四驱劲Halo,21.08万,23.10万,2020年,0.9万公里,2020款,2.0T
Jeep 牧马人 2017款 3.0L Sahara 四门舒享版(进口),36.98万,49.92万,2017年,6.5万公里,2017款,3.0L
大众 途观L 2017款 330TSI 自动两驱豪华版,18.58万,28.20万,2017年,2.8万公里,2017款,1.8T
Jeep 牧马人 2017款 3.0L Sahara 四门舒享版(进口),37.60万,49.92万,2017年,2.2万公里,2017款,3.0L
奥迪Q3 2015款 35 TFSI quattro 技术型,14.79万,36.23万,2015年,13.3万公里,2015款,2.0T
日产 骐达 2014款 1.6L CVT舒适型,7.00万,12.52万,2016年,4.1万公里,2014款,1.6L
吉利 星越 2019款 300T 耀星者,13.38万,16.15万,2020年,1.6万公里,2019款,1.5T
雷克萨斯NX 2015款 200t 全驱 锋尚版,23.30万,43.20万,2015年,12.6万公里,2015款,2.0T
本田 奥德赛 2017款 2.4L 豪华版,22.50万,27.12万,2018年,6.0万公里,2017款,2.4L
大众 速腾 2014款 1.6L 手动舒适型,5.68万,15.07万,2014年,8.1万公里,2014款,1.6L
宝骏730 2014款 1.5L 手动豪华导航ESP版 7座,3.85万,8.99万,2015年,7.8万公里,2014款,1.5L
大众 宝来 2018款 1.5L 自动时尚型,8.88万,13.00万,2018年,7.5万公里,2018款,1.5L
宝马X1 2016款 sDrive18Li 时尚型,18.80万,31.04万,2017年,4.6万公里,2016款,1.5T
雷克萨斯CT 2014款 CT200h 舒适版 单色,19.00万,32.02万,2017年,2.9万公里,2014款,1.8L
宝马X1 2019款 sDrive18Li 时尚型,19.33万,30.05万,2019年,4.6万公里,2019款,1.5T
奔驰SLC级 2016款 SLC 200 时尚型(进口),34.80万,64.59万,2017年,3.9万公里,2016款,2.0T
凯迪拉克ATS-L 2017款 28T 技术型,18.50万,29.72万,2018年,2.4万公里,2017款,2.0T
雷克萨斯NX 2017款 200 前驱 锋行版,27.89万,34.52万,2018年,5.1万公里,2017款,2.0L
丰田 普瑞维亚 2018款 2.4L 自动 （平行进口）,42.29万,,2019年,2.7万公里,2018款,2.4L
别克 君威 2012款 2.0L 豪华版,5.80万,22.13万,2013年,15.4万公里,2012款,2.0L
宝马4系 2014款 420i 时尚型(进口),23.80万,52.97万,2014年,4.7万公里,2014款,2.0T
领克03 2019款 03+ 2.0TD 自动驭风版,19.58万,21.58万,2020年,1.2万公里,2019款,2.0T
现代 朗动 2015款 1.6L 手动领先型,4.78万,12.57万,2015年,6.8万公里,2015款,1.6L
本田 奥德赛 2017款 2.4L 智享版,22.30万,28.96万,2017年,3.7万公里,2017款,2.4L
Smart smart fortwo 2011款 1.0T 硬顶激情版,4.98万,17.15万,2012年,3.9万公里,2011款,1.0T
东风风神A60 2014款 1.5L 手动精英型,5.90万,8.66万,2015年,8.7万公里,2014款,1.5L
沃尔沃XC60 2015款 T5 AWD 智远版,16.50万,47.75万,2015年,15.1万公里,2015款,2.0T
奔驰C级 2016款 C 200 L 运动型,24.79万,38.40万,2017年,7.4万公里,2016款,2.0T
大众 速腾 2014款 1.6L 自动舒适型,7.18万,16.37万,2014年,8.2万公里,2014款,1.6L
MINI 2014款 1.2T ONE,13.36万,22.25万,2015年,4.4万公里,2014款,1.2T
奔驰C级 2015款 改款 C 200 L 运动型,21.80万,38.40万,2015年,7.6万公里,2015款,2.0T
奥迪Q5L 2018款 40 TFSI 荣享进取型 国V,29.98万,41.55万,2019年,2.2万公里,2018款,2.0T
宝马5系 2014款 525Li 领先型,25.50万,50.65万,2015年,14.3万公里,2014款,2.0T
奔驰C级AMG 2015款 AMG C 63,62.60万,108.33万,2016年,7.4万公里,2015款,4.0T
马自达 昂克赛拉 2017款 两厢 1.5L 自动豪华型 国V,10.98万,15.19万,2019年,0.9万公里,2017款,1.5L
宝马5系 2017款 525Li 领先型,30.60万,50.65万,2017年,3.8万公里,2017款,2.0T
奔驰 威霆 2013款 3.0L 精英版,21.80万,40.05万,2014年,14.0万公里,2013款,3.0L
领克03 2019款 03+ 2.0TD 自动驭风版,18.80万,21.58万,2019年,3.2万公里,2019款,2.0T
奥迪A4L 2017款 40 TFSI 风尚型,22.80万,40.03万,2018年,5.3万公里,2017款,2.0T
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,6.68万,13.56万,2017年,3.1万公里,2013款,1.6L
丰田 锐志 2013款 2.5V 菁锐版,15.30万,24.94万,2015年,8.2万公里,2013款,2.5L
奔驰A级 2019款 A 200 L 运动轿车先行特别版,22.98万,31.89万,2019年,0.6万公里,2019款,1.3T
丰田 卡罗拉 2018款 双擎 1.8L E-CVT智尚版,12.48万,16.26万,2019年,5.3万公里,2018款,1.8L
MINI Countryman 2017款 1.5T COOPER ALL4 探险家,21.30万,33.19万,2017年,3.8万公里,2017款,1.5T
日产 骐达 2016款 1.6L CVT智行版,8.50万,13.34万,2016年,3.8万公里,2016款,1.6L
MINI Countryman 2017款 2.0T COOPER S ALL4,22.98万,35.69万,2017年,5.3万公里,2017款,2.0T
奔驰C级 2015款 改款 C 180 L 运动型,21.79万,35.36万,2015年,6.0万公里,2015款,1.6T
东风风光580 2017款 1.8L 手动舒适型,5.19万,8.78万,2018年,5.4万公里,2017款,1.8L
马自达CX-7 2014款 2.3T 智能四驱至尊版,8.80万,29.72万,2014年,9.8万公里,2014款,2.3T
吉利 星越 2019款 300T 耀星者,13.18万,16.15万,2020年,0.7万公里,2019款,1.5T
保时捷Macan 2014款 Macan 2.0T,38.50万,60.57万,2014年,9.7万公里,2014款,2.0T
领克02 2018款 2.0T 自动两驱劲Pro版 国V,12.99万,18.43万,2019年,3.3万公里,2018款,2.0T
奥迪Q3 2015款 35 TFSI 舒适型,18.18万,34.30万,2016年,4.3万公里,2015款,2.0T
本田CR-V 2017款 240TURBO CVT四驱尊贵版,16.99万,25.16万,2018年,2.0万公里,2017款,1.5T
保时捷Boxster 2013款 Boxster S 3.4L,48.80万,105.29万,2014年,6.3万公里,2013款,3.4L
林肯MKC 2019款 2.0T 两驱尊雅版 国VI,22.80万,35.47万,2019年,1.5万公里,2019款,2.0T
路虎 揽胜极光 2018款 240PS SE 智耀版,25.65万,48.06万,2018年,5.4万公里,2018款,2.0T
大众 速腾 2018款 1.6L 自动舒适型,11.18万,16.04万,2019年,5.5万公里,2018款,1.6L
奔驰GLC级 2019款 GLC 260 L 4MATIC 动感型,40.98万,45.57万,2019年,0.8万公里,2019款,2.0T
宝马3系 2011款 320i 时尚型,9.59万,37.45万,2012年,12.4万公里,2011款,2.0L
领克01新能源 2018款 1.5T PHEV 劲 国V,16.40万,26.03万,2019年,2.8万公里,2018款,1.5T
奔驰C级 2010款 C 180K 经典型,9.49万,33.43万,2011年,13.0万公里,2010款,1.6T
英菲尼迪Q50L 2016款 2.0T 悦享版,18.58万,33.63万,2017年,5.4万公里,2016款,2.0T
吉利 帝豪GL 2018款 1.8L 自动精英智联型,7.38万,10.51万,2019年,2.9万公里,2018款,2.9L
本田 思域 2016款 220TURBO CVT豪华版,10.90万,15.19万,2016年,3.1万公里,2016款,1.5T
奥迪Q5 2013款 40 TFSI 舒适型,19.50万,52.31万,2013年,15.3万公里,2013款,2.0T
雷克萨斯CT 2014款 CT200h 精英版 单色,16.30万,29.20万,2016年,5.0万公里,2014款,1.8L
奔驰GLC级 2019款 GLC 300 L 4MATIC 动感型,38.98万,51.97万,2019年,5.7万公里,2019款,2.0T
大众POLO 2013款 1.4L 自动舒适版,5.20万,11.60万,2013年,4.5万公里,2013款,1.4L
奥迪A4L 2016款 35 TFSI 典藏版 自动标准型,17.55万,33.95万,2016年,7.8万公里,2016款,2.0T
雷克萨斯ES 2015款 200 精英版,25.59万,30.28万,2017年,8.0万公里,2015款,2.0L
奥迪A1 2016款 30 TFSI Sportback Design风尚版(进口),12.18万,20.60万,2016年,2.7万公里,2016款,1.4T
Smart smart fortwo 2016款 0.9T 66千瓦硬顶先锋版,10.58万,15.83万,2016年,3.8万公里,2016款,0.9T
宝马3系 2018款 320Li 时尚型,23.80万,35.15万,2018年,6.3万公里,2018款,2.0T
吉利 远景X6 1.3T CVT旗舰型,5.48万,,2017年,9.4万公里,无,1.3L
大众 桑塔纳 2015款 浩纳 1.6L 自动舒适型,5.28万,12.80万,2015年,10.4万公里,2015款,1.6L
奔驰A级 2013款 A 180 时尚型(进口),10.98万,27.35万,2013年,10.4万公里,2013款,1.6T
别克 君威 2010款 2.0L 世博版,5.20万,22.13万,2011年,9.8万公里,2010款,2.0L
日产 轩逸 2016款 1.6XL  CVT尊享版,8.28万,14.96万,2017年,9.6万公里,2016款,1.6L
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.10万,13.28万,2017年,3.8万公里,2017款,1.5L
别克 英朗 2013款 GT 1.6L 自动时尚版,4.90万,16.58万,2015年,8.8万公里,2013款,1.6L
宝马3系 2011款 320i 时尚型,8.78万,37.45万,2011年,9.2万公里,2011款,2.0L
福特 蒙迪欧 2017款 EcoBoost 180 时尚型,12.10万,20.93万,2017年,4.2万公里,2017款,1.5T
雪佛兰 迈锐宝 2017款 1.5T 自动豪华版,9.30万,19.53万,2017年,6.9万公里,2017款,1.5T
大众 朗逸 2011款 1.6L 自动品雅版,4.20万,14.63万,2011年,15.6万公里,2011款,1.6L
大众 朗行 2013款 1.4TSI 自动豪华型,6.38万,17.79万,2013年,5.5万公里,2013款,1.4T
大众 速腾 2012款 1.6L 自动舒适型,7.98万,16.37万,2013年,8.1万公里,2012款,1.6L
丰田 卡罗拉 2017款 1.2T CVT GL-i,8.90万,14.09万,2016年,5.0万公里,2017款,1.2T
雪佛兰 景程 2011款 1.8 豪华版 AT,3.48万,16.81万,2012年,7.8万公里,2011款,1.8L
别克 英朗 2015款 15N 自动豪华型,6.30万,14.86万,2015年,6.5万公里,2015款,1.5L
丰田 普拉多  2.7L 自动 （平行进口）,38.80万,,2017年,5.1万公里,无,3.5L
福特 翼虎 2017款 EcoBoost 180 两驱豪翼型,12.35万,23.32万,2018年,4.3万公里,2017款,1.5T
沃尔沃S90 2019款 T5 智逸版,27.30万,43.73万,2019年,2.2万公里,2019款,2.0T
大众POLO 2013款 1.6L 自动豪华版,4.90万,13.45万,2014年,4.7万公里,2013款,1.6L
起亚K3S 2014款 1.6L 自动GL,5.60万,12.14万,2016年,5.4万公里,2014款,1.6L
三菱 翼神 2012款 致尚版 1.8L 手动豪华型,3.30万,13.66万,2012年,18.4万公里,2012款,1.8L
大众 朗行 2013款 1.6L 自动舒适型,6.50万,15.29万,2014年,3.9万公里,2013款,1.6L
福特 翼搏 2013款 1.5L 自动尊贵型,5.80万,13.87万,2015年,4.2万公里,2013款,1.5L
大众 速腾 2012款 1.4TSI 手动时尚型,5.50万,15.39万,2012年,4.9万公里,2012款,1.4T
沃尔沃XC60 2012款 T5 智雅版(进口),11.80万,50.80万,2012年,5.4万公里,2012款,2.0T
福特 福克斯 2020款 两厢 EcoBoost 180 自动ST Line,10.98万,16.37万,2019年,0.5万公里,2020款,1.5T
宝马M系 2017款 M4敞篷轿跑车,71.80万,107.87万,2018年,3.0万公里,2017款,3.0T
别克 君威 2012款 2.0L 舒适版,6.58万,20.18万,2013年,9.1万公里,2012款,2.0L
别克GL8 2018款 28T 豪华型 国VI,23.38万,27.45万,2019年,2.4万公里,2018款,2.0T
哈弗H6 Coupe 2015款 蓝标 2.0T 自动两驱精英型,6.98万,17.56万,2016年,3.2万公里,2015款,2.0T
丰田 YARiS L 致享 2017款 1.5E CVT魅动版,6.70万,9.53万,2018年,2.8万公里,2017款,1.5L
大众 宝来 2016款 1.6L 自动舒适型,7.28万,14.31万,2016年,6.9万公里,2016款,1.6L
日产 轩逸 2012款 1.6XE CVT舒适版,6.95万,14.00万,2015年,8.3万公里,2012款,1.6L
大众 途观 2012款 1.8TSI 自动四驱菁英版,9.50万,29.50万,2013年,11.7万公里,2012款,1.8T
奥迪Q5 2016款 40 TFSI 进取型,22.60万,41.62万,2016年,11.1万公里,2016款,2.0T
江淮 瑞风S3 2016款 1.5L CVT豪华智能尊享版,3.98万,9.64万,2016年,5.5万公里,2016款,1.5L
起亚 智跑 2012款 2.0L 手动两驱版GL,4.68万,17.89万,2012年,16.2万公里,2012款,2.0L
福特 福克斯 2015款 两厢 1.6L 自动舒适型,6.18万,13.55万,2016年,3.5万公里,2015款,1.6L
传祺GS4 2015款 200T G-DCT尊贵版,6.55万,15.93万,2015年,3.8万公里,2015款,1.3T
大众POLO 2018款 1.5L 手动安驾型,5.60万,8.46万,2018年,3.3万公里,2018款,1.5L
大众POLO 2016款 1.4L 自动风尚型,6.50万,9.54万,2017年,3.8万公里,2016款,1.4L
别克 昂科拉 2014款 1.4T 自动两驱都市领先型,5.50万,19.20万,2014年,10.8万公里,2014款,1.4T
Jeep 指南者 2017款 200T 自动家享版,9.88万,19.52万,2017年,3.4万公里,2017款,1.4T
雪铁龙 世嘉 2014款 1.6L 手动车载互联版,3.98万,13.00万,2014年,9.1万公里,2014款,1.6L
别克 昂科拉 2013款 1.4T 自动两驱领先型,5.38万,19.20万,2013年,12.8万公里,2013款,1.4T
别克 英朗 2012款 XT 1.6L 自动时尚版,5.20万,16.27万,2013年,8.9万公里,2012款,1.6L
本田 缤智 2015款 1.5L CVT两驱舒适型,9.08万,14.85万,2016年,6.5万公里,2015款,1.5L
大众 帕萨特 2011款 1.8TSI DSG尊荣版,7.80万,23.75万,2012年,11.2万公里,2011款,1.8T
宝马5系 2011款 523Li 领先型,15.98万,48.80万,2011年,19.2万公里,2011款,2.5L
大众 途观 2015款 1.8TSI 自动两驱豪华型,13.88万,28.20万,2016年,5.6万公里,2015款,1.8T
日产 轩逸 2020款 1.6L XL CVT悦享版,11.90万,14.10万,2019年,2.0万公里,2020款,1.6L
标致3008 2013款 2.0L 自动潮流版,6.38万,20.27万,2014年,9.8万公里,2013款,2.0L
长安CS35 2017款 1.6L 手动豪华型,5.50万,7.37万,2018年,4.1万公里,2017款,1.6L
日产 逍客 2016款 2.0L CVT精英版,8.89万,16.59万,2016年,14.5万公里,2016款,2.0L
大众 高尔夫 2012款 1.6 手动舒适型,4.98万,13.76万,2013年,7.9万公里,2012款,1.6L
福特 福克斯 2012款 两厢 1.6L 自动舒适型,4.51万,14.21万,2013年,9.1万公里,2012款,1.6L
长安CS35 2015款 1.6L 自动豪华型 国IV,4.35万,10.08万,2015年,5.6万公里,2015款,1.6L
丰田 威驰 2014款 1.5L 自动智臻版,5.98万,9.53万,2016年,2.5万公里,2014款,1.5L
丰田 卡罗拉 2019款 双擎 1.8L E-CVT GL-i精英版,13.60万,15.61万,2020年,4.8万公里,2019款,1.8L
沃尔沃V60 2013款 T5 智雅版(进口),12.18万,37.22万,2013年,7.1万公里,2013款,2.0T
Jeep 指南者 2014款 改款 2.0L 两驱进取版(进口),8.58万,24.09万,2015年,11.7万公里,2014款,2.0L
大众 速腾 2015款 230TSI 自动舒适型,8.96万,17.45万,2016年,8.2万公里,2015款,1.4T
宝骏510 2017款 1.5L 自动豪华型,5.70万,8.23万,2018年,5.9万公里,2017款,1.5L
长安CS35 2015款 1.6L 手动豪华型 国IV,3.98万,9.00万,2015年,4.5万公里,2015款,1.6L
福特 福克斯 2013款 两厢经典 1.8L 手动基本型,4.88万,10.83万,2016年,5.9万公里,2013款,1.8L
大众 朗逸 2017款 1.6L 自动舒适版,7.95万,14.53万,2017年,3.4万公里,2017款,1.6L
别克 昂科威 2014款 28T 四驱精英型,11.98万,29.30万,2014年,8.8万公里,2014款,2.0T
奔驰S级 2018款 S 450 L(进口),90.00万,123.72万,2017年,4.3万公里,2018款,3.0T
雪佛兰 迈锐宝XL 2016款 1.5T 双离合锐驰版,10.00万,21.16万,2016年,5.3万公里,2016款,1.5T
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,10.28万,22.01万,2016年,8.7万公里,2013款,2.0T
起亚K2 2015款 三厢 1.6L AT Premium,4.88万,11.06万,2015年,7.4万公里,2015款,1.6L
大众 宝来 2014款 1.6L 自动豪华型,6.42万,14.79万,2014年,5.1万公里,2014款,1.6L
Smart smart fortwo 2012款 1.0 MHD 硬顶标准版,5.28万,12.48万,2015年,4.6万公里,2012款,1.0L
吉利 博越 2016款 1.8TD 自动智慧型,7.90万,15.17万,2016年,4.5万公里,2016款,1.8T
标致408 2015款 1.2T 自动豪华版,7.20万,16.47万,2016年,3.9万公里,2015款,1.2T
雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,3.18万,11.59万,2013年,10.7万公里,2012款,1.6L
日产 蓝鸟 2016款 1.6L CVT智酷版,7.68万,14.32万,2016年,9.2万公里,2016款,1.6L
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,4.98万,13.98万,2014年,9.9万公里,2014款,1.5T
现代 瑞奕 2014款 1.4L 自动GLX,5.00万,9.54万,2016年,3.9万公里,2014款,1.4L
本田XR-V 2017款 1.8L EXi CVT舒适版,12.88万,16.26万,2017年,3.7万公里,2017款,1.8L
哈弗H6 2013款 运动版 1.5T 手动两驱尊贵型,4.99万,14.42万,2014年,6.7万公里,2013款,1.5T
雪铁龙 世嘉 2013款 三厢 1.6L 自动品尚型,3.62万,12.79万,2014年,8.5万公里,2013款,1.6L
奥迪A3 2014款 Limousine 35 TFSI 自动舒适型,14.50万,27.66万,2016年,0.8万公里,2014款,1.4T
别克 君越 2011款 2.4L SIDI豪华版,6.80万,29.84万,2011年,7.6万公里,2011款,2.4L
别克 英朗 2013款 GT 1.6L 自动时尚版,5.50万,16.58万,2014年,6.9万公里,2013款,1.6L
福特 福克斯 2012款 三厢经典 1.8L 自动时尚型,3.41万,13.44万,2012年,8.8万公里,2012款,1.8L
哈弗H1 2016款 蓝标 1.5L AMT豪华型,4.20万,8.46万,2016年,6.7万公里,2016款,1.5L
哈弗H2 2016款 红标 1.5T 自动两驱豪华型,5.88万,13.33万,2015年,8.5万公里,2016款,1.5T
大众POLO 2013款 1.4L 手动风尚版,3.68万,9.32万,2013年,9.7万公里,2013款,1.4L
福特 福睿斯 2015款 1.5L 自动时尚型,5.88万,13.00万,2016年,5.5万公里,2015款,1.5L
雪铁龙C4L 2015款 1.2T 自动尊贵版,6.06万,17.57万,2015年,6.5万公里,2015款,1.2T
长安CS35 2015款 1.6L 手动豪华型 国V,3.80万,9.11万,2016年,3.8万公里,2015款,1.6L
沃尔沃XC60 2014款 T5 智雅版(进口),14.85万,51.01万,2013年,19.0万公里,2014款,2.0T
大众 高尔夫 2011款 1.4TSI 自动舒适型,6.00万,16.26万,2011年,5.5万公里,2011款,1.4T
别克 君越 2016款 20T 精英型,13.88万,26.03万,2017年,4.6万公里,2016款,1.5T
大众 速腾 2017款 230TSI 自动舒适型,9.60万,17.45万,2016年,5.2万公里,2017款,1.4T
日产 蓝鸟 2019款 1.6L CVT智联智酷版 国VI,9.10万,14.32万,2019年,1.9万公里,2019款,1.6L
现代 瑞奕 2016款 1.4L 自动领先型GLX,5.40万,9.54万,2017年,2.0万公里,2016款,1.4L
大众POLO 2012款 1.6L Cross POLO AT,5.18万,13.67万,2013年,9.0万公里,2012款,1.6L
宝马X1 2015款 sDrive18i 时尚晋级版,16.45万,30.94万,2016年,3.4万公里,2015款,2.0T
大众 朗逸 2015款 1.6L 自动舒适版,6.20万,14.86万,2015年,7.4万公里,2015款,1.6L
宝马3系 2018款 320i M运动套装,24.80万,34.39万,2018年,4.6万公里,2018款,2.0T
大众 朗逸 2015款 230TSI DSG舒适版,7.98万,15.95万,2016年,5.7万公里,2015款,1.4T
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.98万,21.63万,2019年,2.1万公里,2019款,2.0L
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.36万,10.29万,2018年,3.9万公里,2019款,1.5L
福特 福克斯 2012款 两厢经典 1.8L 自动基本型,3.49万,11.92万,2012年,12.9万公里,2012款,1.8L
本田CR-V 2015款 2.4L 两驱豪华版,16.00万,24.94万,2016年,4.8万公里,2015款,2.4L
长安 逸动 2014款 1.6L 手动豪华型,3.30万,8.67万,2015年,7.7万公里,2014款,1.6L
奥迪Q2L 2018款 35TFSI 时尚动感型 国V,17.30万,25.88万,2018年,2.6万公里,2018款,1.4T
起亚 智跑 2012款 2.0L 自动两驱版GLS,6.90万,20.93万,2012年,9.1万公里,2012款,2.0L
起亚K2 2012款 三厢 1.4L AT GLS纪念版,3.90万,9.32万,2014年,12.0万公里,2012款,1.4L
本田 缤智 2015款 1.8L CVT两驱豪华型,9.23万,17.78万,2015年,6.3万公里,2015款,1.8L
现代 名图 2016款 1.8L 自动智能型GLS,8.90万,16.26万,2016年,3.5万公里,2016款,1.8L
玛莎拉蒂Ghibli 2014款 3.0T 标准版,58.80万,97.48万,2016年,9.2万公里,2014款,3.0T
起亚K2 2015款 三厢 1.4L MT GLS,3.99万,8.46万,2016年,3.5万公里,2015款,1.4L
雪铁龙 世嘉 2013款 三厢 1.6L 手动品尚型,4.10万,11.70万,2015年,7.0万公里,2013款,1.6L
凯迪拉克SRX 2012款 3.0L 领先型(进口),12.80万,57.51万,2012年,13.7万公里,2012款,3.0L
起亚 福瑞迪 2011款 1.6L AT GLS,3.08万,13.00万,2010年,10.0万公里,2011款,1.6L
丰田 卡罗拉 2017款 改款 1.2T S-CVT GL-i,9.40万,13.87万,2017年,4.3万公里,2017款,1.2T
现代 索纳塔八 2011款 2.0L 自动领先版,6.28万,19.53万,2012年,9.4万公里,2011款,2.0L
